index,name,experience,interest-1,interest-2,interest-3,linkedIn,github,proficiency-1,proficiency-2
161,Jose,5,blockchain,frontend development,game development,680,14,c++,flutter
162,Wilbur,4,data science,data structures,machine learning,868,41,swift,java
163,Abraham,11,software design,blockchain,internet of things,510,31,javascript,swift
164,Virgil,1,algorithms,computer vision,data science,782,45,arduino,java
165,Clinton,2,internet of things,machine learning,machine learning,773,44,MEAN,python
166,Elbert,5,computer vision,data structures,data structures,509,26,MERN,matlab
167,Leslie,4,data science,competitive programming,internet of things,386,48,R,MERN
168,Marshall,7,competitive programming,data structures,machine learning,251,49,MERN,R
169,Owen,5,hardware design,deep learning,full stack web development,245,4,verilog,MERN
170,Wiley,20,natural language processing,backend development,blockchain,410,22,matlab,c
171,Anton,5,natural language processing,deep learning,hardware design,781,35,R,javascript
172,Morris,7,internet of things,data science,big data,288,39,arduino,flutter
173,Manuel,9,game development,game development,internet of things,253,41,MERN,MERN
174,Phillip,11,natural language processing,algorithms,data science,743,19,go,arduino
175,Augustus,16,android app development,backend development,full stack web development,154,42,c,swift
176,Emmett,1,algorithms,game development,backend development,323,17,MEAN,arduino
177,Eli,20,big data,competitive programming,natural language processing,769,44,javascript,c
178,Nicholas,20,data structures,big data,data science,670,6,octave,swift
179,Wilson,18,data science,data science,game development,822,31,arduino,MERN
180,Alva,9,backend development,data structures,big data,202,4,MERN,flutter
181,Harley,10,data structures,frontend development,data structures,75,38,javascript,python
182,Newton,13,big data,data science,backend development,755,26,go,go
183,Timothy,16,game development,full stack web development,competitive programming,911,7,octave,c
184,Marvin,16,game development,internet of things,internet of things,861,18,octave,MERN
185,Ross,11,blockchain,software design,backend development,377,5,MERN,python
186,Curtis,20,blockchain,deep learning,internet of things,134,46,matlab,arduino
187,Edmund,6,ios development,software design,ios development,386,43,javascript,javascript
188,Jeff,14,computer vision,data science,android app development,837,1,swift,octave
189,Elias,19,blockchain,algorithms,frontend development,360,40,c,R
190,Harrison,12,backend development,software design,data science,429,14,c++,octave
191,Stanley,10,data structures,full stack web development,machine learning,797,2,MEAN,verilog
192,Columbus,17,game development,data science,data structures,433,49,go,matlab
193,Lon,13,natural language processing,competitive programming,internet of things,495,6,octave,matlab
194,Ora,18,backend development,internet of things,game development,919,41,c++,arduino
195,Ollie,20,internet of things,blockchain,competitive programming,788,5,flutter,swift
196,Russell,8,machine learning,algorithms,competitive programming,302,36,c++,java
197,Pearl,16,computer vision,big data,blockchain,925,26,flutter,matlab
198,Solomon,9,hardware design,internet of things,deep learning,987,14,go,matlab
199,Arch,10,ios development,machine learning,ios development,974,41,c,verilog
200,Asa,5,algorithms,backend development,computer vision,219,25,octave,octave
201,Clayton,12,algorithms,competitive programming,computer vision,751,16,MEAN,verilog
202,Enoch,16,software design,algorithms,deep learning,270,3,flutter,c
203,Irving,1,android app development,data structures,computer vision,634,7,python,swift
204,Mathew,3,android app development,software design,android app development,618,9,go,java
205,Nathaniel,16,computer vision,software design,software design,550,7,MEAN,python
206,Scott,18,ios development,machine learning,ios development,807,34,swift,verilog
207,Hubert,15,hardware design,algorithms,natural language processing,802,21,go,c
208,Lemuel,17,blockchain,algorithms,competitive programming,511,28,swift,c++
209,Andy,13,natural language processing,frontend development,internet of things,62,43,MEAN,java
210,Ellis,16,frontend development,data science,internet of things,968,25,c++,c++
211,Emanuel,17,android app development,deep learning,computer vision,310,43,R,c
212,Joshua,17,backend development,data science,competitive programming,137,28,MEAN,java
213,Millard,12,data structures,data science,ios development,900,41,go,verilog
214,Vernon,4,game development,data structures,internet of things,815,12,python,swift
215,Wade,9,computer vision,full stack web development,competitive programming,468,46,c++,octave
216,Cyrus,6,android app development,internet of things,data structures,613,48,python,flutter
217,Miles,7,data science,data science,frontend development,693,36,MEAN,verilog
218,Rudolph,12,internet of things,android app development,hardware design,451,36,matlab,matlab
219,Sherman,20,software design,software design,deep learning,166,42,swift,c
220,Austin,18,natural language processing,hardware design,competitive programming,535,9,c,go
221,Bill,6,ios development,internet of things,game development,103,5,R,swift
222,Chas,12,big data,hardware design,computer vision,472,46,go,c++
223,Lonnie,10,data science,deep learning,big data,880,16,octave,go
224,Monroe,13,deep learning,machine learning,blockchain,654,5,octave,java
225,Byron,13,backend development,frontend development,ios development,881,35,MEAN,MEAN
226,Edd,18,big data,machine learning,full stack web development,945,39,c,go
227,Emery,14,computer vision,hardware design,game development,334,6,MEAN,MERN
228,Grant,4,blockchain,data science,natural language processing,765,38,matlab,c
229,Jerome,20,algorithms,competitive programming,frontend development,117,16,java,arduino
230,Max,13,algorithms,software design,frontend development,259,43,swift,swift
231,Mose,15,data science,software design,blockchain,167,8,verilog,c++
232,Steve,19,android app development,algorithms,full stack web development,210,3,python,c
233,Gordon,5,deep learning,big data,natural language processing,212,46,verilog,verilog
234,Abe,9,data structures,frontend development,game development,884,9,matlab,c++
235,Pete,4,data science,android app development,hardware design,488,22,flutter,MEAN
236,Chris,11,game development,hardware design,full stack web development,547,11,python,python
237,Clark,2,hardware design,software design,algorithms,154,3,c,javascript
238,Gustave,8,backend development,backend development,full stack web development,68,18,verilog,go
239,Orville,6,algorithms,backend development,blockchain,41,17,go,python
240,Lorenzo,7,computer vision,android app development,data science,232,43,verilog,verilog
241,Bruce,15,backend development,data structures,software design,591,7,arduino,MEAN
242,Marcus,17,android app development,full stack web development,big data,317,31,c++,javascript
243,Preston,6,machine learning,game development,hardware design,273,11,flutter,python
244,Bob,11,frontend development,frontend development,android app development,152,2,c,MERN
245,Dock,19,machine learning,blockchain,full stack web development,648,16,matlab,verilog
246,Donald,20,internet of things,data science,full stack web development,602,9,go,R
247,Jackson,12,software design,blockchain,software design,757,24,c++,arduino
248,Cecil,13,blockchain,internet of things,data structures,761,12,verilog,verilog
249,Barney,15,machine learning,competitive programming,deep learning,408,38,MERN,octave
250,Delbert,17,big data,frontend development,hardware design,85,31,matlab,octave
251,Edmond,13,big data,frontend development,internet of things,991,35,arduino,MERN
252,Anderson,18,android app development,frontend development,algorithms,800,33,flutter,verilog
253,Christian,7,ios development,blockchain,frontend development,266,21,octave,MERN
254,Glenn,3,internet of things,blockchain,deep learning,788,31,MERN,MERN
255,Jefferson,18,android app development,software design,competitive programming,115,19,verilog,java
256,Luke,12,frontend development,deep learning,ios development,205,32,java,c++
257,Neal,13,competitive programming,machine learning,deep learning,782,17,c++,R
258,Burt,9,full stack web development,competitive programming,data science,857,19,c,arduino
259,Ike,13,computer vision,data structures,deep learning,608,6,python,arduino
260,Myron,17,computer vision,data structures,android app development,333,48,go,arduino
261,Tony,8,big data,internet of things,ios development,238,11,c++,c
262,Conrad,2,algorithms,big data,big data,594,15,go,MERN
263,Joel,15,hardware design,frontend development,blockchain,793,45,MERN,python
264,Matt,3,ios development,natural language processing,ios development,469,34,arduino,verilog
265,Riley,16,data science,data science,natural language processing,436,26,verilog,c
266,Vincent,13,machine learning,big data,android app development,122,19,octave,c++
267,Emory,17,deep learning,full stack web development,full stack web development,81,49,octave,verilog
268,Isaiah,14,hardware design,game development,backend development,648,9,R,flutter
269,Nick,13,ios development,android app development,internet of things,273,36,matlab,octave
270,Ezra,16,software design,competitive programming,frontend development,583,30,MERN,c++
271,Green,6,algorithms,deep learning,data science,219,27,java,c
272,Juan,14,software design,game development,competitive programming,311,19,verilog,flutter
273,Clifton,18,computer vision,competitive programming,ios development,636,32,MERN,R
274,Lucius,7,hardware design,data structures,algorithms,749,26,java,flutter
275,Porter,6,competitive programming,data structures,algorithms,569,28,matlab,matlab
276,Arnold,11,data structures,ios development,data science,731,18,python,MEAN
277,Bud,2,hardware design,hardware design,android app development,914,32,swift,python
278,Jeremiah,17,computer vision,data science,algorithms,118,18,octave,MEAN
279,Taylor,10,backend development,computer vision,full stack web development,356,15,python,octave
280,Forrest,3,data science,game development,backend development,369,20,java,flutter
281,Roland,15,internet of things,algorithms,data science,531,17,matlab,R
282,Spencer,11,data structures,computer vision,software design,217,14,matlab,MERN
283,Burton,14,internet of things,natural language processing,big data,35,13,swift,python
284,Don,17,data structures,android app development,ios development,217,25,octave,python
285,Emmet,12,game development,internet of things,natural language processing,235,5,arduino,MEAN
286,Gustav,10,data structures,full stack web development,internet of things,440,30,MEAN,MEAN
287,Louie,9,computer vision,data science,big data,134,29,java,flutter
288,Morgan,14,internet of things,blockchain,competitive programming,672,38,javascript,swift
289,Ned,14,internet of things,game development,data science,420,26,c++,MEAN
290,Van,2,full stack web development,deep learning,ios development,560,26,swift,javascript
291,Ambrose,17,data structures,android app development,data science,944,47,go,MERN
292,Chauncey,14,algorithms,competitive programming,natural language processing,692,16,javascript,swift
293,Elisha,5,big data,algorithms,frontend development,909,17,R,flutter
294,Ferdinand,18,backend development,backend development,computer vision,935,37,matlab,c
295,General,7,hardware design,computer vision,frontend development,524,30,go,matlab
296,Julian,11,data science,backend development,data science,32,41,arduino,verilog
297,Kenneth,13,backend development,data structures,machine learning,561,29,c++,python
298,Mitchell,8,backend development,frontend development,ios development,287,22,java,go
299,Allie,12,ios development,ios development,computer vision,797,45,python,octave
300,Josh,8,ios development,data science,data science,885,46,javascript,flutter
301,Judson,13,game development,internet of things,backend development,558,23,go,MERN
302,Lyman,15,competitive programming,backend development,backend development,723,11,java,javascript
303,Napoleon,5,big data,big data,data science,753,36,swift,verilog
304,Pedro,19,competitive programming,ios development,android app development,246,31,javascript,R
305,Berry,15,algorithms,data science,data structures,196,37,java,MEAN
306,Dewitt,3,game development,android app development,backend development,30,27,MEAN,c++
307,Ervin,2,hardware design,game development,algorithms,643,29,flutter,MERN
308,Forest,14,blockchain,deep learning,android app development,954,7,MEAN,matlab
309,Lynn,1,software design,android app development,computer vision,897,23,MEAN,MEAN
310,Pink,17,computer vision,data structures,deep learning,292,20,MERN,arduino
311,Ruben,1,deep learning,competitive programming,android app development,510,9,c,MEAN
312,Sanford,5,backend development,full stack web development,machine learning,835,14,arduino,java
313,Ward,18,data science,frontend development,game development,404,22,javascript,swift
314,Douglas,14,deep learning,ios development,ios development,494,15,MEAN,flutter
315,Ole,4,hardware design,blockchain,big data,6,41,arduino,octave
316,Omer,3,computer vision,machine learning,deep learning,137,42,swift,matlab
317,Ulysses,1,internet of things,internet of things,data structures,630,1,java,octave
318,Walker,10,software design,algorithms,natural language processing,600,21,python,python
319,Wilbert,12,data science,blockchain,ios development,759,48,R,MEAN
320,Adelbert,12,algorithms,machine learning,frontend development,963,27,python,java
321,Benjiman,9,data science,deep learning,competitive programming,670,35,verilog,MEAN
322,Ivan,4,ios development,deep learning,backend development,13,26,matlab,c
323,Jonas,16,software design,computer vision,data structures,167,31,flutter,MEAN
324,Major,7,competitive programming,machine learning,full stack web development,13,24,javascript,MEAN
325,Abner,4,hardware design,competitive programming,blockchain,504,27,MERN,matlab
326,Archibald,8,game development,data structures,deep learning,256,5,python,R
327,Caleb,14,big data,ios development,software design,549,21,R,go
328,Clint,3,full stack web development,game development,big data,606,20,MEAN,arduino
329,Dudley,20,machine learning,competitive programming,data science,581,22,matlab,arduino
330,Granville,3,hardware design,android app development,frontend development,138,37,c++,MERN
331,King,11,data science,data science,data science,399,21,go,MERN
332,Mary,15,big data,computer vision,game development,508,48,c++,MEAN
333,Merton,17,android app development,data science,data science,120,21,go,matlab
334,Antonio,9,natural language processing,computer vision,big data,41,19,swift,javascript
335,Bennie,13,machine learning,data science,big data,742,16,arduino,matlab
336,Carroll,18,big data,data science,backend development,140,39,java,matlab
337,Freeman,10,machine learning,android app development,data science,717,7,c,MERN
338,Josiah,15,internet of things,backend development,algorithms,403,43,matlab,MEAN
339,Milo,1,hardware design,hardware design,full stack web development,518,10,c++,c
340,Royal,12,software design,machine learning,data science,955,30,swift,verilog
341,Dick,15,deep learning,game development,deep learning,244,21,verilog,MERN
342,Earle,6,algorithms,internet of things,full stack web development,897,42,c++,MEAN
343,Elza,11,data structures,machine learning,full stack web development,143,1,octave,matlab
344,Emerson,1,frontend development,data science,android app development,62,28,MERN,R
345,Fletcher,13,competitive programming,full stack web development,android app development,64,34,MERN,arduino
346,Judge,2,computer vision,machine learning,computer vision,501,14,verilog,verilog
347,Laurence,12,software design,algorithms,natural language processing,810,8,arduino,MEAN
348,Neil,8,deep learning,deep learning,algorithms,492,36,javascript,R
349,Roger,20,hardware design,data structures,machine learning,823,18,python,MEAN
350,Seth,6,big data,competitive programming,blockchain,843,25,javascript,swift
351,Glen,3,internet of things,deep learning,deep learning,824,21,swift,java
352,Hugo,9,competitive programming,deep learning,android app development,615,43,flutter,go
353,Jimmie,17,game development,ios development,algorithms,16,1,MEAN,c++
354,Johnnie,11,data structures,competitive programming,android app development,2,9,python,arduino
355,Washington,7,data science,big data,backend development,8,15,matlab,java
356,Elwood,6,deep learning,deep learning,backend development,57,13,go,python
357,Gust,18,big data,algorithms,hardware design,877,46,arduino,MEAN
358,Harmon,8,android app development,computer vision,software design,533,39,MEAN,MERN
359,Jordan,12,hardware design,data science,big data,306,36,swift,swift
360,Simeon,9,data structures,hardware design,deep learning,847,12,c,swift
361,Wayne,18,blockchain,algorithms,backend development,229,6,octave,arduino
362,Wilber,18,data science,frontend development,data science,311,40,swift,swift
363,Clem,16,full stack web development,full stack web development,full stack web development,845,32,python,javascript
364,Evan,13,frontend development,data structures,android app development,342,50,R,R
365,Frederic,20,blockchain,competitive programming,blockchain,90,43,verilog,MEAN
366,Irwin,15,computer vision,full stack web development,computer vision,49,2,javascript,matlab
367,Junius,13,competitive programming,game development,software design,184,3,octave,verilog
368,Lafayette,20,data structures,big data,internet of things,1,13,go,arduino
369,Loren,15,hardware design,computer vision,hardware design,132,42,python,go
370,Madison,5,big data,deep learning,internet of things,814,23,java,c
371,Mason,8,full stack web development,internet of things,frontend development,468,36,R,go
372,Orval,9,internet of things,blockchain,android app development,354,46,octave,javascript
373,Abram,11,competitive programming,full stack web development,machine learning,145,5,c++,octave
374,Aubrey,14,natural language processing,android app development,frontend development,173,8,go,go
375,Elliott,1,full stack web development,internet of things,computer vision,319,49,verilog,R
376,Hans,8,big data,hardware design,algorithms,71,22,MERN,arduino
377,Karl,11,android app development,backend development,android app development,696,22,R,c++
378,Minor,8,deep learning,blockchain,internet of things,809,48,go,swift
379,Wash,1,data structures,full stack web development,full stack web development,89,23,octave,R
380,Wilfred,8,ios development,computer vision,frontend development,670,2,octave,flutter
381,Allan,16,hardware design,data structures,hardware design,154,45,arduino,verilog
382,Alphonse,8,natural language processing,software design,data science,235,39,c,MERN
383,Dallas,1,machine learning,algorithms,big data,102,48,go,c++
384,Dee,20,backend development,hardware design,deep learning,927,46,verilog,java
385,Isiah,8,big data,competitive programming,data structures,723,49,go,flutter
386,Jason,8,full stack web development,computer vision,frontend development,925,43,java,R
387,Johnny,3,backend development,backend development,android app development,433,44,R,c++
388,Lawson,3,computer vision,android app development,computer vision,684,50,c++,arduino
389,Lew,16,ios development,natural language processing,software design,635,11,javascript,c++
390,Micheal,17,ios development,android app development,data science,425,27,octave,c++
391,Orin,10,backend development,backend development,android app development,672,16,octave,R
392,Addison,15,internet of things,data science,internet of things,706,16,MEAN,python
393,Cal,13,blockchain,internet of things,blockchain,153,6,MEAN,verilog
394,Erastus,9,computer vision,frontend development,blockchain,393,25,c,swift
395,Francisco,18,software design,big data,big data,960,30,c++,matlab
396,Hardy,19,computer vision,data science,internet of things,235,28,verilog,swift
397,Lucien,15,machine learning,frontend development,internet of things,950,48,swift,c
398,Randolph,15,internet of things,natural language processing,hardware design,218,26,arduino,swift
399,Stewart,13,algorithms,big data,ios development,936,38,python,octave
400,Vern,1,big data,hardware design,ios development,238,10,octave,octave
401,Wilmer,8,internet of things,deep learning,frontend development,790,6,javascript,javascript
402,Zack,6,game development,ios development,android app development,232,41,MERN,arduino
403,Adrian,8,game development,data structures,algorithms,937,5,go,flutter
404,Alvah,12,competitive programming,algorithms,android app development,923,24,c++,python
405,Bertram,17,ios development,data structures,frontend development,178,50,arduino,MERN
406,Clay,15,frontend development,algorithms,computer vision,304,36,verilog,swift
407,Ephraim,8,blockchain,data science,algorithms,449,35,swift,c
408,Fritz,18,hardware design,data science,backend development,74,38,flutter,go
409,Giles,8,big data,algorithms,frontend development,396,27,octave,java
410,Grover,6,frontend development,data science,software design,129,27,MEAN,go
411,Harris,8,data science,blockchain,internet of things,708,6,octave,matlab
412,Isom,8,backend development,android app development,android app development,389,14,java,python
413,Jesus,8,android app development,deep learning,data science,754,7,verilog,matlab
414,Johnie,19,hardware design,software design,frontend development,660,24,MEAN,verilog
415,Jonathan,11,blockchain,android app development,internet of things,346,13,python,python
416,Lucian,16,deep learning,hardware design,competitive programming,862,14,MEAN,MEAN
417,Malcolm,11,blockchain,algorithms,hardware design,446,23,c++,R
418,Merritt,9,data science,full stack web development,big data,686,32,MEAN,c++
419,Otho,10,algorithms,algorithms,game development,648,8,matlab,matlab
420,Perley,8,hardware design,competitive programming,machine learning,6,50,java,c
421,Rolla,12,algorithms,hardware design,full stack web development,904,32,go,python
422,Sandy,9,data science,algorithms,computer vision,675,46,c,MEAN
423,Tomas,11,ios development,full stack web development,deep learning,839,28,javascript,flutter
424,Wilford,3,deep learning,frontend development,natural language processing,193,26,python,octave
425,Adolphus,16,machine learning,data structures,algorithms,397,11,javascript,MERN
426,Angus,4,hardware design,hardware design,full stack web development,48,40,MERN,R
427,Arther,11,blockchain,frontend development,algorithms,109,7,swift,flutter
428,Carlos,2,computer vision,data structures,data structures,916,45,MERN,matlab
429,Cary,1,computer vision,game development,deep learning,583,27,MERN,flutter
